# step res_l2 res_l2_check diff
314 3.081373e-06 3.081373e-06 0.000000e+00
315 3.052464e-06 3.052464e-06 0.000000e+00
316 3.046285e-06 3.046285e-06 0.000000e+00
317 3.040175e-06 3.040175e-06 0.000000e+00
318 3.034115e-06 3.034115e-06 0.000000e+00
319 3.028101e-06 3.028101e-06 0.000000e+00
320 3.003215e-06 3.003215e-06 0.000000e+00
321 2.997439e-06 2.997439e-06 0.000000e+00
322 2.991718e-06 2.991718e-06 0.000000e+00
323 2.986037e-06 2.986037e-06 0.000000e+00
324 2.980392e-06 2.980392e-06 0.000000e+00
325 2.958522e-06 2.958522e-06 0.000000e+00
326 2.953067e-06 2.953067e-06 0.000000e+00
327 2.947655e-06 2.947655e-06 0.000000e+00
328 2.942277e-06 2.942277e-06 0.000000e+00
329 2.936929e-06 2.936929e-06 0.000000e+00
330 2.917331e-06 2.917331e-06 0.000000e+00
331 2.912136e-06 2.912136e-06 0.000000e+00
332 2.906976e-06 2.906976e-06 0.000000e+00
333 2.901843e-06 2.901843e-06 0.000000e+00
334 2.896736e-06 2.896736e-06 0.000000e+00
335 2.878865e-06 2.878865e-06 0.000000e+00
336 2.873883e-06 2.873883e-06 0.000000e+00
337 2.868931e-06 2.868931e-06 0.000000e+00
338 2.864002e-06 2.864002e-06 0.000000e+00
339 2.859094e-06 2.859094e-06 0.000000e+00
340 2.842549e-06 2.842549e-06 0.000000e+00
341 2.837747e-06 2.837747e-06 0.000000e+00
342 2.832969e-06 2.832969e-06 0.000000e+00
343 2.828211e-06 2.828211e-06 0.000000e+00
344 2.823472e-06 2.823472e-06 0.000000e+00
345 2.807959e-06 2.807959e-06 0.000000e+00
346 2.803310e-06 2.803310e-06 0.000000e+00
347 2.798681e-06 2.798681e-06 0.000000e+00
348 2.794071e-06 2.794071e-06 0.000000e+00
349 2.789478e-06 2.789478e-06 0.000000e+00
350 2.774780e-06 2.774780e-06 0.000000e+00
351 2.770264e-06 2.770264e-06 0.000000e+00
352 2.765766e-06 2.765766e-06 0.000000e+00
353 2.761285e-06 2.761285e-06 0.000000e+00
354 2.756819e-06 2.756819e-06 0.000000e+00
355 2.742777e-06 2.742777e-06 0.000000e+00
356 2.738379e-06 2.738379e-06 0.000000e+00
357 2.733998e-06 2.733998e-06 0.000000e+00
358 2.729631e-06 2.729631e-06 0.000000e+00
359 2.725279e-06 2.725279e-06 0.000000e+00
360 2.711775e-06 2.711775e-06 0.000000e+00
361 2.707483e-06 2.707483e-06 0.000000e+00
362 2.703207e-06 2.703207e-06 0.000000e+00
363 2.698944e-06 2.698944e-06 0.000000e+00
364 2.694694e-06 2.694694e-06 0.000000e+00
365 2.681639e-06 2.681639e-06 0.000000e+00
366 2.677445e-06 2.677445e-06 0.000000e+00
367 2.673264e-06 2.673264e-06 0.000000e+00
368 2.669096e-06 2.669096e-06 0.000000e+00
369 2.664941e-06 2.664941e-06 0.000000e+00
370 2.652270e-06 2.652270e-06 0.000000e+00
371 2.648165e-06 2.648165e-06 0.000000e+00
372 2.644073e-06 2.644073e-06 0.000000e+00
373 2.639993e-06 2.639993e-06 0.000000e+00
374 2.635924e-06 2.635924e-06 0.000000e+00
375 2.623588e-06 2.623588e-06 0.000000e+00
376 2.619567e-06 2.619567e-06 0.000000e+00
377 2.615557e-06 2.615557e-06 0.000000e+00
378 2.611559e-06 2.611559e-06 0.000000e+00
379 2.607572e-06 2.607572e-06 0.000000e+00
380 2.595532e-06 2.595532e-06 0.000000e+00
381 2.591589e-06 2.591589e-06 0.000000e+00
