# level nx ny res_l2
2 32 32 2.855605e-02
3 16 16 9.082953e-03
4 8 8 2.250452e-03
1 64 64 7.570761e-02
2 32 32 2.457019e-02
3 16 16 7.815152e-03
4 8 8 1.936330e-03
1 64 64 6.601787e-02
2 32 32 2.114068e-02
3 16 16 6.724311e-03
4 8 8 1.666055e-03
1 64 64 5.778718e-02
2 32 32 1.818986e-02
3 16 16 5.785730e-03
4 8 8 1.433504e-03
1 64 64 5.082033e-02
2 32 32 1.565092e-02
3 16 16 4.978156e-03
4 8 8 1.233414e-03
1 64 64 4.494815e-02
2 32 32 1.346636e-02
3 16 16 4.283303e-03
4 8 8 1.061253e-03
1 64 64 4.002322e-02
2 32 32 1.158672e-02
3 16 16 3.685438e-03
4 8 8 9.131218e-04
1 64 64 3.591604e-02
2 32 32 9.969442e-03
3 16 16 3.171023e-03
4 8 8 7.856672e-04
1 64 64 3.251192e-02
2 32 32 8.577904e-03
3 16 16 2.728410e-03
4 8 8 6.760030e-04
1 64 64 2.970851e-02
2 32 32 7.380597e-03
3 16 16 2.347578e-03
4 8 8 5.816458e-04
1 64 64 2.741406e-02
2 32 32 6.350410e-03
3 16 16 2.019902e-03
4 8 8 5.004591e-04
1 64 64 2.554639e-02
2 32 32 5.464017e-03
3 16 16 1.737963e-03
4 8 8 4.306046e-04
1 64 64 2.403235e-02
2 32 32 4.701348e-03
3 16 16 1.495377e-03
4 8 8 3.705004e-04
1 64 64 2.280769e-02
2 32 32 4.045131e-03
3 16 16 1.286652e-03
4 8 8 3.187856e-04
1 64 64 2.181684e-02
2 32 32 3.480510e-03
3 16 16 1.107060e-03
4 8 8 2.742893e-04
1 64 64 2.101269e-02
2 32 32 2.994699e-03
3 16 16 9.525365e-04
4 8 8 2.360037e-04
1 64 64 2.035604e-02
2 32 32 2.576698e-03
3 16 16 8.195810e-04
4 8 8 2.030622e-04
1 64 64 1.981486e-02
2 32 32 2.217041e-03
3 16 16 7.051835e-04
4 8 8 1.747186e-04
1 64 64 1.936346e-02
2 32 32 1.907585e-03
3 16 16 6.067536e-04
4 8 8 1.503312e-04
1 64 64 1.898145e-02
2 32 32 1.641324e-03
3 16 16 5.220627e-04
4 8 8 1.293479e-04
1 64 64 1.865291e-02
2 32 32 1.412227e-03
3 16 16 4.491929e-04
4 8 8 1.112934e-04
1 64 64 1.836548e-02
2 32 32 1.215108e-03
3 16 16 3.864943e-04
4 8 8 9.575901e-05
