# level nx ny res_l2_norm
3 16 16 1.651360e-05
4 8 8 5.605451e-06
1 64 64 1.319164e-04
2 32 32 4.645974e-05
3 16 16 1.623684e-05
4 8 8 5.511502e-06
1 64 64 1.297056e-04
2 32 32 4.568109e-05
3 16 16 1.596471e-05
4 8 8 5.419129e-06
1 64 64 1.275317e-04
2 32 32 4.491548e-05
3 16 16 1.569715e-05
4 8 8 5.328303e-06
1 64 64 1.253943e-04
2 32 32 4.416271e-05
3 16 16 1.543407e-05
4 8 8 5.239000e-06
1 64 64 1.232928e-04
2 32 32 4.342256e-05
3 16 16 1.517540e-05
4 8 8 5.151194e-06
1 64 64 1.212264e-04
2 32 32 4.269481e-05
3 16 16 1.492106e-05
4 8 8 5.064859e-06
1 64 64 1.191947e-04
2 32 32 4.197925e-05
3 16 16 1.467099e-05
4 8 8 4.979972e-06
1 64 64 1.171970e-04
2 32 32 4.127569e-05
3 16 16 1.442511e-05
4 8 8 4.896507e-06
1 64 64 1.152328e-04
2 32 32 4.058392e-05
3 16 16 1.418334e-05
4 8 8 4.814442e-06
1 64 64 1.133016e-04
2 32 32 3.990375e-05
3 16 16 1.394563e-05
4 8 8 4.733751e-06
1 64 64 1.114027e-04
2 32 32 3.923497e-05
3 16 16 1.371191e-05
4 8 8 4.654413e-06
1 64 64 1.095356e-04
2 32 32 3.857741e-05
3 16 16 1.348210e-05
4 8 8 4.576405e-06
1 64 64 1.076998e-04
2 32 32 3.793086e-05
3 16 16 1.325614e-05
4 8 8 4.499705e-06
1 64 64 1.058948e-04
2 32 32 3.729515e-05
3 16 16 1.303397e-05
4 8 8 4.424290e-06
1 64 64 1.041200e-04
2 32 32 3.667009e-05
3 16 16 1.281553e-05
4 8 8 4.350139e-06
1 64 64 1.023750e-04
2 32 32 3.605551e-05
3 16 16 1.260074e-05
4 8 8 4.277231e-06
1 64 64 1.006592e-04
2 32 32 3.545123e-05
3 16 16 1.238956e-05
4 8 8 4.205544e-06
1 64 64 9.897220e-05
2 32 32 3.485708e-05
3 16 16 1.218191e-05
4 8 8 4.135060e-06
1 64 64 9.731346e-05
2 32 32 3.427289e-05
3 16 16 1.197775e-05
4 8 8 4.065756e-06
1 64 64 9.568251e-05
2 32 32 3.369848e-05
3 16 16 1.177700e-05
4 8 8 3.997615e-06
1 64 64 9.407890e-05
2 32 32 3.313371e-05
3 16 16 1.157962e-05
4 8 8 3.930615e-06
1 64 64 9.250217e-05
2 32 32 3.257840e-05
3 16 16 1.138555e-05
4 8 8 3.864738e-06
1 64 64 9.095186e-05
2 32 32 3.203239e-05
3 16 16 1.119473e-05
4 8 8 3.799965e-06
1 64 64 8.942753e-05
2 32 32 3.149554e-05
3 16 16 1.100711e-05
4 8 8 3.736278e-06
1 64 64 8.792875e-05
2 32 32 3.096768e-05
3 16 16 1.082264e-05
4 8 8 3.673659e-06
1 64 64 8.645509e-05
2 32 32 3.044867e-05
3 16 16 1.064125e-05
4 8 8 3.612089e-06
1 64 64 8.500613e-05
2 32 32 2.993836e-05
3 16 16 1.046291e-05
4 8 8 3.551550e-06
1 64 64 8.358145e-05
2 32 32 2.943660e-05
3 16 16 1.028755e-05
4 8 8 3.492027e-06
1 64 64 8.218065e-05
2 32 32 2.894325e-05
3 16 16 1.011514e-05
4 8 8 3.433501e-06
1 64 64 8.080333e-05
2 32 32 2.845817e-05
3 16 16 9.945609e-06
4 8 8 3.375956e-06
1 64 64 7.944909e-05
2 32 32 2.798122e-05
3 16 16 9.778923e-06
4 8 8 3.319375e-06
1 64 64 7.811754e-05
2 32 32 2.751227e-05
3 16 16 9.615031e-06
4 8 8 3.263743e-06
1 64 64 7.680832e-05
2 32 32 2.705117e-05
3 16 16 9.453885e-06
4 8 8 3.209043e-06
1 64 64 7.552103e-05
2 32 32 2.659780e-05
3 16 16 9.295441e-06
4 8 8 3.155260e-06
1 64 64 7.425532e-05
2 32 32 2.615203e-05
