# level nx ny res_l2
4 8 8 3.642754e-05
1 64 64 1.249856e+00
2 32 32 4.011870e-04
3 16 16 1.265144e-04
4 8 8 3.078929e-05
1 64 64 1.238031e+00
2 32 32 3.391522e-04
3 16 16 1.069351e-04
4 8 8 2.602324e-05
1 64 64 1.226355e+00
2 32 32 2.867199e-04
3 16 16 9.038447e-05
4 8 8 2.199454e-05
1 64 64 1.214825e+00
2 32 32 2.424066e-04
3 16 16 7.639433e-05
4 8 8 1.858918e-05
1 64 64 1.203436e+00
2 32 32 2.049580e-04
3 16 16 6.456869e-05
4 8 8 1.571077e-05
1 64 64 1.192185e+00
2 32 32 1.733142e-04
3 16 16 5.457286e-05
4 8 8 1.327780e-05
1 64 64 1.181070e+00
2 32 32 1.465792e-04
3 16 16 4.612385e-05
4 8 8 1.122139e-05
1 64 64 1.170086e+00
2 32 32 1.239956e-04
3 16 16 3.898243e-05
4 8 8 9.483283e-06
1 64 64 1.159232e+00
2 32 32 1.049235e-04
3 16 16 3.294636e-05
4 8 8 8.014238e-06
1 64 64 1.148504e+00
2 32 32 8.882243e-05
3 16 16 2.784468e-05
4 8 8 6.772629e-06
1 64 64 1.137899e+00
2 32 32 7.523551e-05
3 16 16 2.353284e-05
4 8 8 5.723265e-06
1 64 64 1.127415e+00
2 32 32 6.377703e-05
3 16 16 1.988868e-05
4 8 8 4.836396e-06
1 64 64 1.117049e+00
2 32 32 5.412132e-05
3 16 16 1.680889e-05
4 8 8 4.086875e-06
1 64 64 1.106799e+00
2 32 32 4.599344e-05
3 16 16 1.420618e-05
4 8 8 3.453443e-06
1 64 64 1.096663e+00
2 32 32 3.916139e-05
3 16 16 1.200676e-05
4 8 8 2.918131e-06
1 64 64 1.086638e+00
2 32 32 3.342938e-05
3 16 16 1.014823e-05
4 8 8 2.465748e-06
1 64 64 1.076722e+00
2 32 32 2.863211e-05
3 16 16 8.577879e-06
4 8 8 2.083457e-06
1 64 64 1.066914e+00
2 32 32 2.462989e-05
3 16 16 7.251149e-06
4 8 8 1.760404e-06
1 64 64 1.057210e+00
2 32 32 2.130437e-05
3 16 16 6.130380e-06
4 8 8 1.487416e-06
1 64 64 1.047610e+00
2 32 32 1.855485e-05
3 16 16 5.183751e-06
4 8 8 1.256740e-06
1 64 64 1.038111e+00
2 32 32 1.629505e-05
3 16 16 4.384374e-06
4 8 8 1.061824e-06
1 64 64 1.028711e+00
2 32 32 1.445042e-05
3 16 16 3.709537e-06
4 8 8 8.971292e-07
1 64 64 1.019410e+00
2 32 32 1.295584e-05
3 16 16 3.140052e-06
4 8 8 7.579751e-07
1 64 64 1.010204e+00
2 32 32 1.175399e-05
3 16 16 2.659719e-06
4 8 8 6.404060e-07
1 64 64 1.001093e+00
2 32 32 1.079422e-05
3 16 16 2.254859e-06
4 8 8 5.410790e-07
1 64 64 9.920753e-01
2 32 32 1.003193e-05
3 16 16 1.913928e-06
4 8 8 4.571694e-07
1 64 64 9.831490e-01
2 32 32 9.428331e-06
3 16 16 1.627185e-06
4 8 8 3.862901e-07
1 64 64 9.743127e-01
2 32 32 8.950279e-06
3 16 16 1.386413e-06
4 8 8 3.264243e-07
1 64 64 9.655651e-01
2 32 32 8.570109e-06
3 16 16 1.184681e-06
4 8 8 2.758679e-07
1 64 64 9.569049e-01
2 32 32 8.265259e-06
3 16 16 1.016137e-06
4 8 8 2.331816e-07
1 64 64 9.483306e-01
2 32 32 8.017745e-06
3 16 16 8.758311e-07
4 8 8 1.971494e-07
1 64 64 9.398412e-01
2 32 32 7.813519e-06
3 16 16 7.595673e-07
4 8 8 1.667447e-07
1 64 64 9.314352e-01
2 32 32 7.641793e-06
3 16 16 6.637649e-07
4 8 8 1.411003e-07
1 64 64 9.231115e-01
2 32 32 7.494396e-06
3 16 16 5.853445e-07
4 8 8 1.194846e-07
1 64 64 9.148689e-01
2 32 32 7.365207e-06
3 16 16 5.216314e-07
4 8 8 1.012801e-07
1 64 64 9.067064e-01
2 32 32 7.249678e-06
3 16 16 4.702779e-07
4 8 8 8.596579e-08
1 64 64 8.986228e-01
2 32 32 7.144449e-06
3 16 16 4.292090e-07
4 8 8 7.310254e-08
1 64 64 8.906170e-01
2 32 32 7.047050e-06
3 16 16 3.965901e-07
4 8 8 6.231997e-08
1 64 64 8.826881e-01
2 32 32 6.955670e-06
3 16 16 3.708108e-07
4 8 8 5.330568e-08
1 64 64 8.748349e-01
2 32 32 6.868980e-06
3 16 16 3.504806e-07
4 8 8 4.579594e-08
1 64 64 8.670566e-01
2 32 32 6.786008e-06
3 16 16 3.344235e-07
4 8 8 3.956748e-08
1 64 64 8.593521e-01
2 32 32 6.706043e-06
3 16 16 3.216690e-07
4 8 8 3.443039e-08
1 64 64 8.517205e-01
2 32 32 6.628561e-06
3 16 16 3.114353e-07
4 8 8 3.022188e-08
1 64 64 8.441609e-01
2 32 32 6.553175e-06
3 16 16 3.031062e-07
4 8 8 2.680098e-08
1 64 64 8.366724e-01
2 32 32 6.479598e-06
3 16 16 2.962054e-07
4 8 8 2.404413e-08
1 64 64 8.292541e-01
2 32 32 6.407617e-06
3 16 16 2.903706e-07
4 8 8 2.184206e-08
1 64 64 8.219053e-01
2 32 32 6.337072e-06
3 16 16 2.853295e-07
4 8 8 2.009765e-08
1 64 64 8.146250e-01
2 32 32 6.267838e-06
3 16 16 2.808794e-07
4 8 8 1.872510e-08
1 64 64 8.074125e-01
2 32 32 6.199821e-06
3 16 16 2.768709e-07
4 8 8 1.764962e-08
1 64 64 8.002669e-01
2 32 32 6.132946e-06
3 16 16 2.731938e-07
4 8 8 1.680739e-08
1 64 64 7.931875e-01
2 32 32 6.067154e-06
3 16 16 2.697679e-07
4 8 8 1.614535e-08
1 64 64 7.861736e-01
2 32 32 6.002396e-06
3 16 16 2.665344e-07
4 8 8 1.562047e-08
1 64 64 7.792243e-01
2 32 32 5.938631e-06
3 16 16 2.634505e-07
4 8 8 1.519876e-08
1 64 64 7.723390e-01
2 32 32 5.875823e-06
3 16 16 2.604849e-07
4 8 8 1.485389e-08
1 64 64 7.655169e-01
2 32 32 5.813944e-06
3 16 16 2.576150e-07
4 8 8 1.456586e-08
1 64 64 7.587574e-01
2 32 32 5.752965e-06
3 16 16 2.548241e-07
4 8 8 1.431968e-08
1 64 64 7.520597e-01
2 32 32 5.692863e-06
3 16 16 2.520999e-07
4 8 8 1.410426e-08
1 64 64 7.454232e-01
2 32 32 5.633615e-06
3 16 16 2.494334e-07
4 8 8 1.391146e-08
1 64 64 7.388472e-01
2 32 32 5.575200e-06
3 16 16 2.468181e-07
4 8 8 1.373533e-08
1 64 64 7.323312e-01
2 32 32 5.517599e-06
3 16 16 2.442488e-07
4 8 8 1.357159e-08
1 64 64 7.258743e-01
2 32 32 5.460793e-06
3 16 16 2.417219e-07
4 8 8 1.341712e-08
1 64 64 7.194761e-01
2 32 32 5.404765e-06
3 16 16 2.392344e-07
4 8 8 1.326970e-08
1 64 64 7.131358e-01
2 32 32 5.349498e-06
3 16 16 2.367841e-07
4 8 8 1.312772e-08
1 64 64 7.068530e-01
2 32 32 5.294976e-06
3 16 16 2.343692e-07
4 8 8 1.299003e-08
1 64 64 7.006269e-01
2 32 32 5.241183e-06
3 16 16 2.319882e-07
4 8 8 1.285581e-08
1 64 64 6.944571e-01
2 32 32 5.188104e-06
3 16 16 2.296399e-07
4 8 8 1.272447e-08
1 64 64 6.883429e-01
2 32 32 5.135725e-06
3 16 16 2.273234e-07
4 8 8 1.259560e-08
1 64 64 6.822839e-01
2 32 32 5.084031e-06
3 16 16 2.250376e-07
4 8 8 1.246889e-08
1 64 64 6.762793e-01
2 32 32 5.033010e-06
3 16 16 2.227818e-07
4 8 8 1.234412e-08
1 64 64 6.703287e-01
2 32 32 4.982647e-06
3 16 16 2.205554e-07
4 8 8 1.222114e-08
1 64 64 6.644315e-01
2 32 32 4.932930e-06
3 16 16 2.183576e-07
4 8 8 1.209983e-08
1 64 64 6.585873e-01
2 32 32 4.883847e-06
3 16 16 2.161878e-07
4 8 8 1.198011e-08
1 64 64 6.527954e-01
2 32 32 4.835385e-06
3 16 16 2.140454e-07
4 8 8 1.186191e-08
1 64 64 6.470554e-01
2 32 32 4.787533e-06
3 16 16 2.119300e-07
4 8 8 1.174517e-08
1 64 64 6.413667e-01
2 32 32 4.740278e-06
3 16 16 2.098409e-07
4 8 8 1.162987e-08
1 64 64 6.357289e-01
2 32 32 4.693611e-06
3 16 16 2.077777e-07
4 8 8 1.151596e-08
1 64 64 6.301415e-01
2 32 32 4.647520e-06
3 16 16 2.057399e-07
4 8 8 1.140342e-08
1 64 64 6.246039e-01
2 32 32 4.601994e-06
3 16 16 2.037270e-07
4 8 8 1.129222e-08
1 64 64 6.191157e-01
2 32 32 4.557023e-06
3 16 16 2.017386e-07
4 8 8 1.118234e-08
1 64 64 6.136764e-01
2 32 32 4.512597e-06
3 16 16 1.997743e-07
4 8 8 1.107376e-08
1 64 64 6.082856e-01
2 32 32 4.468707e-06
3 16 16 1.978335e-07
4 8 8 1.096645e-08
1 64 64 6.029428e-01
2 32 32 4.425343e-06
3 16 16 1.959159e-07
4 8 8 1.086040e-08
1 64 64 5.976475e-01
2 32 32 4.382496e-06
3 16 16 1.940211e-07
4 8 8 1.075558e-08
1 64 64 5.923992e-01
2 32 32 4.340156e-06
3 16 16 1.921486e-07
4 8 8 1.065198e-08
1 64 64 5.871976e-01
2 32 32 4.298315e-06
3 16 16 1.902982e-07
4 8 8 1.054958e-08
1 64 64 5.820422e-01
2 32 32 4.256965e-06
3 16 16 1.884694e-07
4 8 8 1.044836e-08
1 64 64 5.769326e-01
2 32 32 4.216096e-06
3 16 16 1.866618e-07
4 8 8 1.034831e-08
1 64 64 5.718683e-01
2 32 32 4.175701e-06
3 16 16 1.848751e-07
4 8 8 1.024939e-08
1 64 64 5.668489e-01
2 32 32 4.135772e-06
3 16 16 1.831090e-07
4 8 8 1.015161e-08
1 64 64 5.618739e-01
2 32 32 4.096302e-06
3 16 16 1.813631e-07
4 8 8 1.005493e-08
1 64 64 5.569431e-01
2 32 32 4.057282e-06
3 16 16 1.796371e-07
4 8 8 9.959345e-09
1 64 64 5.520559e-01
2 32 32 4.018705e-06
3 16 16 1.779306e-07
4 8 8 9.864836e-09
1 64 64 5.472119e-01
2 32 32 3.980564e-06
3 16 16 1.762434e-07
4 8 8 9.771386e-09
1 64 64 5.424109e-01
2 32 32 3.942852e-06
3 16 16 1.745751e-07
4 8 8 9.678978e-09
1 64 64 5.376523e-01
2 32 32 3.905562e-06
3 16 16 1.729254e-07
4 8 8 9.587598e-09
1 64 64 5.329357e-01
2 32 32 3.868688e-06
3 16 16 1.712941e-07
4 8 8 9.497227e-09
1 64 64 5.282609e-01
2 32 32 3.832223e-06
3 16 16 1.696808e-07
4 8 8 9.407853e-09
1 64 64 5.236273e-01
2 32 32 3.796161e-06
3 16 16 1.680853e-07
4 8 8 9.319459e-09
1 64 64 5.190347e-01
2 32 32 3.760495e-06
3 16 16 1.665073e-07
4 8 8 9.232032e-09
1 64 64 5.144826e-01
2 32 32 3.725219e-06
3 16 16 1.649465e-07
4 8 8 9.145555e-09
1 64 64 5.099707e-01
2 32 32 3.690327e-06
3 16 16 1.634027e-07
4 8 8 9.060017e-09
1 64 64 5.054986e-01
2 32 32 3.655814e-06
3 16 16 1.618756e-07
4 8 8 8.975402e-09
1 64 64 5.010660e-01
2 32 32 3.621674e-06
3 16 16 1.603650e-07
4 8 8 8.891696e-09
1 64 64 4.966724e-01
2 32 32 3.587901e-06
3 16 16 1.588706e-07
4 8 8 8.808888e-09
1 64 64 4.923176e-01
2 32 32 3.554490e-06
3 16 16 1.573921e-07
4 8 8 8.726962e-09
1 64 64 4.880012e-01
2 32 32 3.521435e-06
3 16 16 1.559295e-07
4 8 8 8.645907e-09
1 64 64 4.837229e-01
2 32 32 3.488732e-06
3 16 16 1.544823e-07
4 8 8 8.565709e-09
1 64 64 4.794822e-01
2 32 32 3.456375e-06
3 16 16 1.530504e-07
4 8 8 8.486359e-09
1 64 64 4.752789e-01
2 32 32 3.424360e-06
3 16 16 1.516336e-07
4 8 8 8.407842e-09
1 64 64 4.711126e-01
2 32 32 3.392681e-06
3 16 16 1.502317e-07
4 8 8 8.330147e-09
1 64 64 4.669830e-01
2 32 32 3.361333e-06
3 16 16 1.488444e-07
4 8 8 8.253264e-09
1 64 64 4.628897e-01
2 32 32 3.330313e-06
3 16 16 1.474716e-07
4 8 8 8.177180e-09
1 64 64 4.588325e-01
2 32 32 3.299615e-06
3 16 16 1.461130e-07
4 8 8 8.101882e-09
1 64 64 4.548110e-01
2 32 32 3.269236e-06
3 16 16 1.447685e-07
4 8 8 8.027363e-09
1 64 64 4.508248e-01
2 32 32 3.239169e-06
3 16 16 1.434378e-07
4 8 8 7.953612e-09
1 64 64 4.468738e-01
2 32 32 3.209413e-06
3 16 16 1.421208e-07
4 8 8 7.880616e-09
1 64 64 4.429574e-01
2 32 32 3.179961e-06
3 16 16 1.408173e-07
4 8 8 7.808367e-09
1 64 64 4.390756e-01
2 32 32 3.150811e-06
3 16 16 1.395271e-07
4 8 8 7.736854e-09
1 64 64 4.352278e-01
2 32 32 3.121957e-06
3 16 16 1.382500e-07
4 8 8 7.666069e-09
1 64 64 4.314139e-01
2 32 32 3.093397e-06
3 16 16 1.369859e-07
4 8 8 7.596000e-09
1 64 64 4.276335e-01
2 32 32 3.065126e-06
3 16 16 1.357345e-07
4 8 8 7.526639e-09
1 64 64 4.238864e-01
2 32 32 3.037140e-06
3 16 16 1.344958e-07
4 8 8 7.457976e-09
1 64 64 4.201722e-01
2 32 32 3.009436e-06
3 16 16 1.332695e-07
4 8 8 7.390002e-09
1 64 64 4.164906e-01
2 32 32 2.982010e-06
3 16 16 1.320555e-07
4 8 8 7.322710e-09
1 64 64 4.128413e-01
2 32 32 2.954859e-06
3 16 16 1.308537e-07
4 8 8 7.256088e-09
1 64 64 4.092242e-01
2 32 32 2.927979e-06
3 16 16 1.296638e-07
4 8 8 7.190131e-09
1 64 64 4.056388e-01
2 32 32 2.901366e-06
3 16 16 1.284858e-07
4 8 8 7.124828e-09
1 64 64 4.020848e-01
2 32 32 2.875018e-06
3 16 16 1.273194e-07
4 8 8 7.060173e-09
1 64 64 3.985621e-01
2 32 32 2.848930e-06
3 16 16 1.261646e-07
4 8 8 6.996155e-09
1 64 64 3.950704e-01
2 32 32 2.823100e-06
3 16 16 1.250211e-07
4 8 8 6.932769e-09
1 64 64 3.916093e-01
2 32 32 2.797524e-06
3 16 16 1.238889e-07
4 8 8 6.870005e-09
1 64 64 3.881786e-01
2 32 32 2.772200e-06
3 16 16 1.227679e-07
4 8 8 6.807857e-09
1 64 64 3.847780e-01
2 32 32 2.747124e-06
3 16 16 1.216578e-07
4 8 8 6.746317e-09
1 64 64 3.814072e-01
2 32 32 2.722293e-06
3 16 16 1.205585e-07
4 8 8 6.685376e-09
1 64 64 3.780661e-01
2 32 32 2.697704e-06
3 16 16 1.194699e-07
4 8 8 6.625030e-09
1 64 64 3.747542e-01
2 32 32 2.673355e-06
3 16 16 1.183920e-07
4 8 8 6.565270e-09
1 64 64 3.714715e-01
2 32 32 2.649242e-06
3 16 16 1.173245e-07
4 8 8 6.506088e-09
1 64 64 3.682175e-01
2 32 32 2.625363e-06
3 16 16 1.162673e-07
4 8 8 6.447480e-09
1 64 64 3.649921e-01
2 32 32 2.601715e-06
3 16 16 1.152203e-07
4 8 8 6.389437e-09
1 64 64 3.617950e-01
2 32 32 2.578294e-06
3 16 16 1.141835e-07
4 8 8 6.331952e-09
1 64 64 3.586259e-01
2 32 32 2.555100e-06
3 16 16 1.131566e-07
4 8 8 6.275020e-09
1 64 64 3.554847e-01
2 32 32 2.532128e-06
3 16 16 1.121395e-07
4 8 8 6.218634e-09
1 64 64 3.523710e-01
2 32 32 2.509376e-06
3 16 16 1.111322e-07
4 8 8 6.162788e-09
1 64 64 3.492846e-01
2 32 32 2.486842e-06
3 16 16 1.101345e-07
4 8 8 6.107476e-09
1 64 64 3.462253e-01
2 32 32 2.464524e-06
3 16 16 1.091464e-07
4 8 8 6.052691e-09
1 64 64 3.431928e-01
2 32 32 2.442418e-06
3 16 16 1.081677e-07
4 8 8 5.998427e-09
1 64 64 3.401870e-01
2 32 32 2.420522e-06
3 16 16 1.071982e-07
4 8 8 5.944679e-09
1 64 64 3.372074e-01
2 32 32 2.398835e-06
3 16 16 1.062380e-07
4 8 8 5.891440e-09
1 64 64 3.342541e-01
2 32 32 2.377353e-06
3 16 16 1.052869e-07
4 8 8 5.838706e-09
1 64 64 3.313266e-01
2 32 32 2.356075e-06
3 16 16 1.043447e-07
4 8 8 5.786469e-09
1 64 64 3.284248e-01
2 32 32 2.334997e-06
3 16 16 1.034115e-07
4 8 8 5.734727e-09
1 64 64 3.255484e-01
2 32 32 2.314119e-06
3 16 16 1.024870e-07
4 8 8 5.683472e-09
1 64 64 3.226972e-01
2 32 32 2.293437e-06
3 16 16 1.015713e-07
4 8 8 5.632697e-09
1 64 64 3.198711e-01
2 32 32 2.272949e-06
